گوشی موبایل شیائومی مدل REDMI 10A 220233L2G دو سیم‌ کارت ظرفیت  32 گیگابایت و رم 2 گیگابایت ,194
گوشی موبایل نوکیا مدل C21 TA-1352 دو سیم کارت ظرفیت 32 گیگابایت و رم 2 گیگابایت ,195
گوشی موبایل ریلمی مدل C30 دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,182
گوشی موبایل تی سی ال مدل 403 دو سیم کارت ظرفیت 32 گیگابایت و رم 2 گیگابایت ,182
گوشی موبایل جیونی مدل S11 lite دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,141
گوشی موبایل نوکیا مدل C30 TA-1359 DS دو سیم کارت ظرفیت 64 گیگابایت و رم 3 گیگابایت,237
گوشی موبایل رنسو مدل Nep N9 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,188
گوشی موبایل جی پلاس مدل Q20 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت ,200
گوشی موبایل سامسونگ مدل Galaxy A04 دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,192
گوشی موبایل نوکیا مدل G10 TA-1334 دو سیم کارت ظرفیت 64 گیگابایت همراه با رم 4 گیگابایت,194
گوشی موبایل وان پلاس مدل Nord N100 BE2013 دو سیم‌کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,188
گوشی موبایل جی پلاس مدل X10 Plus دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت ,185.3
گوشی موبایل موتورولا مدل Moto E13 دو سیم کارت ظرفیت 64 گیگابایت و رم 2 گیگابایت,179.5
گوشی موبایل رنسو مدل Nep N5 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,207
گوشی موبایل شیائومی مدل Poco C40 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت- گلوبال,204
گوشی موبایل سامسونگ مدل Galaxy A04 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,192
گوشی موبایل شیائومی مدل REDMI 10A 220233L2G دو سیم‌ کارت ظرفیت  64 گیگابایت و رم 3 گیگابایت,194
گوشی موبایل سامسونگ مدل Galaxy A03 SM-A035F/DS دو سیم‌ کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت ,196
گوشی موبایل شیائومی مدل Redmi 9A M2006C3LC دو سیم‌ کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت ,196
گوشی موبایل موتورولا مدل Moto E32s دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت ,185‍‍‍
گوشی موبایل سامسونگ مدل Galaxy A04e دو سیم کارت ظرفیت 64 گیگابایت و رم 3 گیگابایت ,188
گوشی موبایل شیائومی مدل Redmi 12C دو سیم کارت ظرفیت 64 گیگابایت و رم 3 گیگابایت - گلوبال ,192
گوشی موبایل دوجی مدل N30 دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,190
گوشی موبایل اوپو مدل A16K دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,175
گوشی موبایل سامسونگ مدل Galaxy A03s SM-A037F/DS دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,196
گوشی موبایل ریلمی مدل C35 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,189
گوشی موبایل سامسونگ مدل Galaxy A04s دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت ,195
گوشی موبایل شیائومی مدل REDMI 10A دو سیم‌ کارت ظرفیت  128 گیگابایت و رم 4 گیگابایت - گلوبال,194
گوشی موبایل شیائومی مدل Redmi 12C دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت - گلوبال,192
گوشی موبایل آنر مدل X6 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت ,194
گوشی موبایل شیائومی مدل Redmi 10C 220333QAG دو سیم‌ کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,190
گوشی موبایل جی پلاس مدل X20 دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,204
